Disease	genes
Craniofacial anomalies	GLI2
"Craniofacial anomalies, pulmonary/visceral disruption & skin laxity"	LTBP4
Craniofacial-deafness-hand syndrome	PAX3
Craniofrontonasal syndrome	EFNB1
Craniometaphyseal dysplasia	"c(\ANKH\"", \""GJA1\"")"""
Craniorachischisis	"c(\CELSR1\"", \""SCRIB\"")"""
Craniosynostosis	"c(\FGFR2\"", \""FGFR3\"", \""MSX2\"", \""SOX6\"", \""TWIST1\"")"""
Craniosynostosis-microcephaly with chromosomal breakage	MCPH1
"Craniosynostosis, Boston-type"	MSX2
"Craniosynostosis, complex"	ERF
"Craniosynostosis, delayed tooth eruption & supernumerary teeth"	IL11RA
"Craniosynostosis, isolated metopic"	FREM1
"Craniosynostosis, nonsymdromic"	ALX4
"Craniosynostosis, predisposition to"	FGFR2
Creatine deficiency	SLC6A8
"Creutzfeldt-Jakob disease, association with"	PRND
"Creutzfeldt-Jakob disease, sporadic, increased risk"	BACE1
Creutzfeldt-Jakob syndrome	PRNP
"Creutzfeldt-Jakob syndrome, protection, association with"	PRNP
Crigler-Najjar syndrome	UGT1A1
Crigler-Najjar syndrome 1	UGT1A1
Crigler-Najjar syndrome 2	"c(\UGT1A1\"", \""UGT1A4\"")"""
Crisponi syndrome	CRLF1
Crisponi/CISS1 syndrome	CRLF1
"Crohn disease, association with"	NELL1
Crohn's disease	NOD2
"Crohn's disease and ulcerative colitis, reduced risk"	PGLYRP2
"Crohn's disease, association with"	"c(\CARD8\"", \""CLEC2D\"", \""MUC2\"")"""
"Crohn's disease, increased risk"	"c(\PGLYRP2\"", \""PGLYRP4\"")"""
"Crohn's disease, increased risk, association with"	"c(\ATG16L1\"", \""CALCOCO2\"", \""HEATR3\"", \""PRDM1\"")"""
"Crohn's disease, neonatal onset"	IL10RA
"Crohn's disease, protection against"	IL23R
"Crohn's disease, susceptibility to"	"c(\DLG1\"", \""NOD2\"")"""
"Crohn's disease, susceptibility to, association"	"c(\IRGM\"", \""NOD2\"")"""
"Crohn's disease, susceptibility to, association with"	NOD2
"Crohn's disease, susceptibility, association with"	SLC22A4
Cromer blood group	CD55
Crouzon syndrome	FGFR2
Crouzon syndrome with acanthosis nigricans	FGFR3
"Cryohydrocytosis, stomatin-deficient"	SLC2A1
Cryopyrin-associated periodic syndrome	NLRP3
"Cryopyrin-associated periodic syndrome, atypical"	NLRP3
Cryptogenic cirrhosis	KRT18
Cryptogenic focal epilepsy	SCN1A
Cryptogenic generalised epilepsy	SCN1A
Cryptogenic liver disease	KRT8
Cryptorchidism	"c(\INSL3\"", \""RXFP2\"", \""SNAP29\"")"""
Cryptorchidism and hypospadia	SNAP29
Cryptozoospermia	NR5A1
Currarino syndrome	MNX1
Cushing syndrome	"c(\MC2R\"", \""PRKAR1A\"", \""RAF1\"")"""
Cutaneomucosal venous malformation	TEK
Cutaneous disease	JUP
Cutaneous leiomyomatosis	FH
Cutaneous melanoma	BAP1
"Cutaneous melanoma, susceptibility to, association with"	BMP4
Cutis laxa	"c(\ELN\"", \""FBLN5\"", \""GORAB\"")"""
Cutis laxa syndrome	EFEMP2
Cutis laxa with progeroid features	PYCR1
"Cutis laxa, arachnodactyly & vascular abnormalities"	EFEMP2
"Cutis laxa, autosomal recessive"	PYCR1
"Cutis laxa, autosomal recessive, type 1"	LTBP4
"Cutis laxa, autosomal recessive, type 2"	"c(\ATP6V0A2\"", \""PYCR1\"")"""
"Cutis laxa, autosomal recessive, type 3A"	ALDH18A1
"Cutis laxa, autosomal recessive, type 3A with Warburg Micro syndrome features"	ALDH18A1
"Cutis laxa, Dandy-Walker malformation & microcephaly"	ATP6V0A2
"Cutis laxa, fat pads & retinopathy"	ALDH18A1
Cylindromatosis	CYLD
"Cylindromatosis, familial"	CYLD
CYP2C8 deficiency	CYP2C8
"CYP2G deficiency, association with"	CYP2G2P
CYP3A4 variant	CYP3A4
CYP3A5 variant	CYP3A5
Cystathionine elevations	CTH
Cystathioninuria	CTH
Cystic fibrosis	CFTR
"Cystic fibrosis lung disease, modifier of"	CHI3L1
Cystic fibrosis related disorder	CFTR
"Cystic fibrosis, atypical"	CFTR
"Cystic fibrosis, modifier of"	CLCA1
"Cystic fibrosis, non-classic"	"c(\SCNN1A\"", \""SCNN1B\"")"""
Cystic leukoencephalopathy	RNASET2
Cystic nephroma	DICER1
"Cystic renal disease, nephrogenic diabetes insipidus & polycytaemia"	HNF1B
Cystic renal dysplasia	BICC1
Cystinosis	CTNS
"Cystinosis, benign"	CTNS
"Cystinosis, intermediate"	CTNS
"Cystinosis, nephropathic"	CTNS
"Cystinosis, nephropathic infantile"	CTNS
"Cystinosis, nephropathic late-onset"	CTNS
"Cystinosis, non-classical"	CTNS
Cystinuria	"c(\SLC3A1\"", \""SLC7A10\"", \""SLC7A9\"")"""
"Cystinuria, non-type I"	SLC7A9
"Cystinuria, type I"	SLC7A9
"Cystinuria, type I/III"	SLC7A9
Cytochrome c oxidase deficiency	"c(\COX10\"", \""COX15\"", \""FASTKD2\"", \""LRPPRC\"", \""SCO1\"", \""SCO2\"", \""SURF1\"")"""
Cytochrome P450 deficiency	CYP2D6
Cytophagic histiocytic panniculitis	PRF1
Cytosarcoma phyllodes	TP53
"Cytosolic beta-glucosidase deficiency, association"	GBA3
D-2-hydroxyglutaric aciduria	D2HGDH
"D-2-hydroxyglutaric aciduria, type II"	IDH2
D-bifunctional protein deficiency	HSD17B4
D-bifunctional protein deficiency with male infertility	HSD17B4
D-glyceric aciduria	GLYCTK
Dandy-Walker malformation and occipital cephaloceles	"c(\LAMC1\"", \""NID1\"")"""
Danon disease	"c(\LAMP2\"", \""lamp2b\"")"""
Darier disease	"c(\ATP2A2\"", \""atp2a2b\"")"""
"Darker eye colour, association with"	OCA2
De Barsy syndrome	PYCR1
Deafness	"c(\ACTG1\"", \""APOD\"", \""ATP6V1B1\"", \""BSND\"", \""CCS\"", \""CDH23\"", \""CEMIP\"", \""CLU\"", \""COCH\"", \""COL11A1\"", \""COL11A2\"", \""COL2A1\"", \""COL4A3\"", \""COL4A4\"", \""COL4A5\"", \""COL9A1\"", \""COL9A3\"", \""DIAPH1\"", \""DSPP\"", \""EDN3\"", \""EDNRB\"", \""EPS8\"", \""ESRRB\"", \""EYA1\"", \""FBXO2\"", \""GJA1\"", \""GJA1P1\"", \""GJB2\"", \""GJB3\"", \""GJB4\"", \""GJB6\"", \""GJC3\"", \""GPR98\"", \""KCNQ4\"", \""LHFP\"", \""LRP1\"", \""MARVELD2\"", \""MIA\"", \""MYH14\"", \""MYH9\"", \""MYO15A\"", \""MYO1A\"", \""MYO1C\"", \""MYO3A\"", \""MYO6\"", \""MYO7A\"", \""NDP\"", \""OTOF\"", \""OTOGL\"", \""PCDH15\"", \""POU4F3\"", \""RDX\"", \""SLC17A8\"", \""SLC26A4\"", \""SOX2\"", \""STRC\"", "
"\""TCOF1\"", \""TECTA\"", \""TMC1\"", \""TMIE\"", \""TMPRSS3\"", \""TMPRSS5\"", \""TRIOBP\"", \""ush1cpst\"", \""USH2A\"", \""WFS1\"")"""	
Deafness and palmoplantar hyperkeratosis	GJB2
Deafness and palmoplantar keratoderma	GJB2
"Deafness, autosomal dominant"	TECTA
"Deafness, autosomal dominant 12"	TECTA
"Deafness, autosomal dominant 13"	COL11A2
"Deafness, autosomal dominant 17"	MYH9
"Deafness, autosomal dominant 2"	KCNQ4
"Deafness, autosomal dominant 22"	MYO6
"Deafness, autosomal dominant 3"	"c(\GJB2\"", \""GJB6\"")"""
"Deafness, autosomal dominant 8"	TECTA
"Deafness, autosomal recessive"	"c(\CLDN14\"", \""DFNB31\"", \""GJA1\"", \""MYO6\"")"""
"Deafness, autosomal recessive 1"	GJB2
"Deafness, autosomal recessive 12"	CDH23
"Deafness, autosomal recessive 12, modifier of"	ATP2B2
"Deafness, autosomal recessive 9"	OTOF
"Deafness, bilateral, with inner ear malformation"	SLC26A4
"Deafness, childhood onset"	TMPRSS3
"Deafness, dominant progressive"	ACTG1
"Deafness, non-syndromic"	"c(\CDH23\"", \""COCH\"", \""DFNB31\"", \""ESRRB\"", \""GPR98\"", \""LRTOMT\"", \""lrtomt2\"", \""MYO15A\"", \""MYO6\"", \""MYO7A\"", \""OTOF\"", \""PCDH15\"", \""PTPRQ\"", \""SLC26A5\"", \""STRC\"", \""TECTA\"", \""TMC1\"", \""TRIOBP\"", \""ush1cpst\"", \""USH2A\"")"""
"Deafness, non-syndromic, autosomal dominant"	"c(\COCH\"", \""GJB3\"", \""MYO7A\"", \""POU4F3\"", \""TMC1\"")"""
"Deafness, non-syndromic, autosomal recessive"	"c(\GJB3\"", \""MSRB3\"", \""msrb3i2\"", \""MYO15A\"", \""MYO7A\"", \""OTOF\"", \""PCDH15\"", \""SLC26A4\"", \""TMC1\"", \""TMPRSS3\"")"""
"Deafness, nonsyndromic"	"c(\BSND\"", \""CDH23\"", \""CIB2\"", \""ELMOD3\"", \""GJB2\"", \""SLC17A8\"", \""TBC1D24\"", \""TPRN\"")"""
"Deafness, nonsyndromic sensorineural"	GJB2
"Deafness, nonsyndromic sensorineural 25"	SLC17A8
"Deafness, onychodystrophy, osteodystrophy, mental retardation, and seizures syndrome"	TBC1D24
"Deafness, sensorineural non-syndromic 11"	MYO7A
"Deafness, unilateral"	GJB2
"Decreased 20-HETE production, association with"	CYP4F2
Decreased activity	"c(\FFAR1\"", \""MPG\"", \""PLTP\"", \""UGT1A4\"", \""XDH\"")"""
Decreased adenylyl cyclase activity	ADCY6
Decreased apoptosis and increased colony formation in vitro	SERPINB5
Decreased binding affinity	ADRA1A
Decreased bioactivity	NPS
Decreased catalytic efficiency	CYP2A13
Decreased cleavage rate	CPA1
Decreased endotoxin binding	LY96
Decreased enzyme activity	"c(\CASP1\"", \""EPHX2\"", \""GCLC\"", \""MTMR14\"", \""SLCO2B1\"")"""
Decreased estradiol 17beta-glucuronide transport	ABCC1
Decreased factor VIII activity	F8
Decreased fibrinogen levels	FGA
Decreased function	SLC22A6
Decreased HDL3-C and apoA-I level in females	APOD
"Decreased holo TCII levels, association with"	TCN2
Decreased lipopolysaccharide-induced signaling	LY96
Decreased monoamine uptake	SLC18A1
"Decreased mortality in heart failure, association with"	GRK5
Decreased peripheral vision & night blindness	EYS
Decreased pro-apoptotic activity	STK10
"Decreased proinsulin concentration, association with"	MADD
Decreased protein	KLLN
Decreased protein expression	"c(\CYP1A2\"", \""PTGIR\"", \""SLCO1B3\"")"""
Decreased protein stability	"c(\ADH4\"", \""ARF4\"", \""INMT\"", \""PKM\"", \""PRMT3\"", \""SULT1C2\"", \""SULT2A1\"", \""SULT4A1\"")"""
Decreased receptor expression	"c(\GHSR\"", \""OPRM1\"")"""
Decreased response to PKA-mediated phosphorylation	CYP2D6
Decreased sensitivity of umami taste receptor	TAS1R3
Decreased transport activity	SLC6A2
Decreased transporter function	SLC22A2
"Deep sleep, duration and intensity, association with"	ADA
Deep vein thrombosis	"c(\F12\"", \""F13B\"", \""F5\"", \""FGA\"", \""PROC\"", \""PROS1\"", \""PROZ\"", \""SERPINC1\"", \""THBD\"")"""
"Deep vein thrombosis, reduced risk, association with"	CYP4V2
Defective calcium binding	SHBG
Defective collagen binding	VWF
"Defective craniofacial morphogenesis & heart, blood, bone & germ cell ontogeny"	IRX5
Defective haem transport	SLC48A1
Defective IFNbeta stimulation	TMEM173
Defective porphyrin transport	ABCG2
Defective protein-protein interactions with MLH1	PMS2
Defective spermatogenesis	AR
Dejerine-Sottas syndrome	"c(\EGR2\"", \""MPZ\"", \""PMP22\"", \""PRX\"")"""
"Delayed memory recall, association with"	NQO2
"Delayed sleep phase syndrome, association with"	AANAT
Dementia	"c(\mapttv6\"", \""PRNP\"", \""PSEN1\"", \""PSEN2\"", \""TARDBP\"")"""
Dementia and/or parkinsonism	PRKAR1B
Dementia with Lewy bodies	"c(\MAPT\"", \""PARK2\"", \""PINK1\"", \""SNCB\"")"""
"Dementia, familial"	SERPINI1
"Dementia, late-onset"	C10orf2
"Dementia, neurodegenerative"	PRNP
"Dementia, pyramidal system involvement, and leukoencephalopathy"	PSEN1
"Dementia, with lysosomal inclusions"	PSEN1
Demyelinating neuropathy	MPZ
Demyelinating peripheral neuropathy	GDAP1
Demyelinating polyneuropathy	MPZ
DEND syndrome	KCNJ11
"DEND syndrome, intermediate"	KCNJ11
"Dendritic cell, monocyte, B & NK lymphoid deficiency"	GATA2
Dense deposit disease	"c(\ADAM19\"", \""C3\"", \""C3AR1\"", \""C8A\"", \""CFD\"", \""CFH\"", \""CR1\"")"""
Dent (Japan) disease	CLCN5
Dent disease	"c(\CLCN5\"", \""OCRL\"")"""
Dent disease 2	OCRL
"Dental disorder, non-syndromic"	DSPP
Dentin dysplasia type II	DSPP
Dentinogenesis imperfecta	COL1A1
Dentinogenesis imperfecta Shields type II	DSPP
Dentinogenesis imperfecta type I	DSPP
Dentinogenesis imperfecta type II	DSPP
Denys-Drash syndrome	WT1
Depression	APAF1
"Depression, association with"	P2RX7
"Depression, ataxia and cardiomyopathy"	POLG
"Depressive disorder, protection against, association with"	NGFR
Dermatopathia pigmentosa reticularis	KRT14
Desbuquois dysplasia	CANT1
Desbuquois dysplasia type 2	XYLT1
"Desbuquois dysplasia, Kim variant"	CANT1
"Desbuquois dysplasia, type 1"	CANT1
"Desbuquois dysplasia, type 2"	CANT1
Desbuquois dysplasia/diastrophic dysplasia	SLC26A2
Desmoid tumours	APC
Desmosterolosis	DHCR24
Deuteranopia	OPN1MW
"Development delay, accelerated linear growth, facial dysmorphisms and CNS abnormalities"	PIGA
"Development delay, hypotonia & ophthalmoplegia"	KARS
Developmental delay	"c(\CUL4B\"", \""OPHN1\"", \""PTEN\"", \""SETBP1\"", \""UNC13C\"", \""ZMYND11\"")"""
Developmental delay & behavioural difficulties	EBP
Developmental delay & microcephaly	SPOCK1
Developmental delay and intellectual disability	HNRNPU
Developmental delay and macrocephaly	PTEN
Developmental delay and seizures	POLG
"Developmental delay, epilepsy & neonatal diabetes"	ABCC8
"Developmental delay, lung cysts, overgrowth & Wilms tumour"	DICER1
"Developmental delay, microcephaly and neurobehavioural abnormalities"	BCKDK
"Developmental delay, multifocal epilepsy & abnormal liver function"	NGLY1
Developmental disorder and intellectual disability	SCN1A
Developmental language disorder	SEMA6D
"Developmental malformations, sensory hearing loss & dystonia"	ACTB
Developmental verbal dyspraxia	FOXP2
"DFNA36 hearing loss, association with"	TMC1
DFNB7/B11 deafness	TMC1
Diabetes	"c(\GATA6\"", \""GCK\"", \""HFE\"", \""HNF1A\"", \""PPARA\"", \""WFS1\"")"""
"Diabetes in overweight people, association with"	IRS2
"Diabetes insipidus, central"	"c(\AVP\"", \""AVPR2\"")"""
"Diabetes insipidus, nephrogenic"	"c(\AQP2\"", \""AVPR2\"")"""
"Diabetes insipidus, neurohypophyseal"	AVP
"Diabetes insipidus, neurohypophyseal, late-onset"	AVP
Diabetes mellitus	"c(\GCK\"", \""KCNJ11\"")"""
"Diabetes mellitus 2, association with"	"c(\ABCC8\"", \""CAPN10\"", \""CD38\"", \""KCNJ11\"")"""
"Diabetes mellitus 2, early onset, association with"	CPE
Diabetes mellitus with reactive hypoglycaemia	ABCC8
"Diabetes mellitus, neonatal"	GCK
"Diabetes mellitus, permanent neonatal"	GATA6
"Diabetes mellitus, permanent neonatal, association with"	KCNJ11
"Diabetes mellitus, post transplant"	GCK
"Diabetes mellitus, protection against"	ABCC8
"Diabetes mellitus, transient neonatal"	"c(\SLC2A2\"", \""ZFP57\"")"""
"Diabetes mellitus, type 1"	"c(\GH1\"", \""HNF1A\"")"""
"Diabetes mellitus, type 1, association with"	NEUROD1
"Diabetes mellitus, type 2"	"c(\APOE\"", \""CAT\"", \""FN3K\"", \""GCK\"", \""GPD2\"", \""HMGA1\"", \""HNF1A\"", \""HNF4A\"", \""IRS1\"", \""KLF11\"", \""NEUROD1\"", \""PDX1\"")"""
"Diabetes mellitus, type 2 & gestational"	PDX1
"Diabetes mellitus, type 2, association with"	"c(\ADIPOQ\"", \""CLPS\"", \""KCNJ15\"", \""KLF11\"", \""PDX1\"")"""
"Diabetes Mellitus, type 2, association with"	PCK1
"Diabetes, adult-onset"	ABCC8
"Diabetes, association with"	MT1A
"Diabetes, early onset, association"	HNF1B
"Diabetes, early onset, renal dysfunction"	HNF1B
"Diabetes, early-onset, MODY"	FOXA2
"Diabetes, gestational"	GCK
"Diabetes, hydronephrosis & renal stone"	HNF1A
"Diabetes, juvenile-onset"	KCNJ11
"Diabetes, ketosis-prone, increased risk"	PAX4
"Diabetes, MODY"	"c(\ABCC8\"", \""BLK\"", \""GCK\"", \""HNF1A\"", \""HNF1B\"", \""HNF4A\"", \""INS\"", \""KRT17\"", \""MTTP\"", \""NEUROD1\"", \""PASK\"", \""PAX4\"", \""PDX1\"")"""
"Diabetes, MODY / hypercholesterolaemia"	CEL
"Diabetes, MODY1"	HNF4A
"Diabetes, MODY2"	GCK
"Diabetes, MODY3"	HNF1A
"Diabetes, MODY5"	HNF1B
"Diabetes, neonatal"	"c(\ABCC8\"", \""FOXP3\"", \""GLIS3\"", \""INS\"", \""KCNJ11\"", \""PDX1\"", \""WFS1\"")"""
"Diabetes, neonatal with neurological symptoms"	KCNJ11
"Diabetes, neonatal, with intestinal atresia"	RFX6
"Diabetes, neonatal/adult-onset"	ABCC8
"Diabetes, NIDDM"	"c(\ABCC8\"", \""GCK\"", \""GIPR\"", \""HK2\"", \""IAPP\"", \""INSR\"", \""IRS1\"", \""SLC2A2\"", \""SLC2A4\"")"""
"Diabetes, NIDDM, association with"	"c(\GCGR\"", \""IRS1\"", \""SLC2A2\"")"""
"Diabetes, NIDDM, susceptibility, association"	SLC2A2
"Diabetes, permanent neonatal"	"c(\ABCC8\"", \""EIF2AK3\"", \""GCK\"", \""INS\"", \""KCNJ11\"", \""MNX1\"", \""PDX1\"", \""SLC19A2\"", \""SLC2A2\"")"""
"Diabetes, permanent neonatal & enteric anendocrinosis"	NEUROG3
"Diabetes, permanent neonatal & neurological abnormalities"	NKX2-2
"Diabetes, protection against, association with"	SELL
"Diabetes, transient neonatal"	"c(\ABCC8\"", \""KCNJ11\"")"""
"Diabetes, type 1"	"c(\CBLB\"", \""INS\"", \""PRF1\"", \""SIRT1\"")"""
"Diabetes, type 1, and sensorineural hearing loss"	WFS1
"Diabetes, type 1, association with"	"c(\CTLA4\"", \""IFIH1\"", \""IL4R\"", \""PAX4\"", \""SUMO4\"", \""TAP2\"", \""TBX21\"", \""TCF7\"", \""WFS1\"")"""
"Diabetes, type 1, increased risk, association with"	OAS1
"Diabetes, type 1, resistance to"	GLIS3
"Diabetes, type 1B"	"c(\INS\"", \""KCNJ11\"")"""
"Diabetes, type 2"	"c(\ADIPOQ\"", \""ATP2A3\"", \""GLP1R\"", \""IRS2\"", \""ISL1\"", \""MAPK8IP1\"", \""MTNR1B\"", \""PAX4\"", \""SREBF1\"", \""WFS1\"")"""
"Diabetes, type 2, association with"	"c(\ABCC8\"", \""ADIPOQ\"", \""ARHGEF11\"", \""ATF6\"", \""CDK11A\"", \""DBI\"", \""FABP6\"", \""HNF1A\"", \""KCNJ11\"", \""MACF1\"", \""MTNR1B\"", \""MTTP\"", \""NEUROG3\"", \""PIK3C2G\"", \""PPARGC1A\"", \""SLC2A2\"", \""SLC30A8\"", \""SOD3\"", \""THADA\"", \""UTS2\"")"""
"Diabetes, type 2, early-onset"	"c(\GCK\"", \""HNF1A\"", \""TGM2\"")"""
"Diabetes, type 2, early-onset autosomal dominant"	KCNJ11
"Diabetes, type 2, increased risk"	"c(\ADRB3\"", \""PAM\"", \""PINK1\"", \""PPIP5K2\"", \""TBC1D4\"")"""
"Diabetes, type 2, lower risk, association with"	PPARGC1A
"Diabetes, type 2, protection against"	SLC30A8
"Diabetes, type 2, protection, association"	LTA
"Diabetes, type 2, reduced risk"	PTGES2
"Diabetes, type 2, reduced risk, association with"	PYY
"Diabetes, type 2, risk, association with"	LARS2
"Diabetes, type 2, susceptibility to"	EEA1
"Diabetes, type 2, susceptibility to, association"	UCP1
"Diabetes, type 2, susceptibility, association with"	BTC
"Diabetes, type II,  in middle-aged subjects, association with"	NPY
"Diabetes, young onset and microcephaly"	TRMT10A
Diabetic nephropathy	HNF1B
"Diabetic nephropathy, association with"	"c(\GFPT2\"", \""MCF2L2\"", \""PLXND1\"", \""RAET1L\"")"""
"Diabetic nephropathy, reduced risk, association with"	MMP12
"Diabetic polyneuropathy, reduced risk, association with"	PARP1
Diamond-Blackfan anaemia	"c(\GATA1\"", \""RPL11\"", \""RPL35A\"", \""RPL5\"", \""RPS10\"", \""RPS15\"", \""RPS17\"", \""RPS19\"", \""RPS24\"", \""RPS26\"", \""RPS27A\"", \""RPS28\"", \""RPS29\"")"""
Diamond-Blackfan anaemia with mandibulofacial dystostosis	TSR2
"Diamond-Blackfan anaemia, modifier of"	MPL
Diaphanospondylodysostosis	BMPER
"Diaphragmatic hernia, congenital"	"c(\DISP1\"", \""HLX\"", \""PDGFRA\"", \""ZFPM2\"")"""
"Diarrhea in travellers, reduced risk, association with"	LTF
"Diarrhoea 4, malabsorptive, congenital"	NEUROG3
"Diarrhoea syndrome, familial"	GUCY2C
"Diarrhoea, congenital chloride"	SLC26A3
Diastrophic dysplasia	SLC26A2
Diastrophic dysplasia/Multiple Epiphyseal dysplasia	SLC26A2
Dicarboxylic aminoaciduria	SLC1A1
DICER1 syndrome	DICER1
Dienoyl-CoA reductase (DECR) deficiency with hyperlysinaemia	NADK2
"Differentiated thyroid carcinoma, association with"	"c(\PRKDC\"", \""WWOX\"")"""
Diffuse large B-cell lymphoma	MET
Diffuse mesangial sclerosis	"c(\COQ6\"", \""NPHS1\"", \""PLCE1\"", \""WT1\"")"""
DiGeorge syndrome	TBX1
"Digital abnormalities, intellectual disability & short stature"	EBP
Digital arthropathy-brachydactyly	TRPV4
Dihydrolipoamide dehydrogenase deficiency	DLD
Dihydropteridine reductase deficiency	QDPR
Dihydropyramidinase deficiency	DPYS
Dihydropyrimidine dehydrogenase deficiency	DPYD
"Dihydropyrimidine dehydrogenase deficiency, partial"	DPYD
Dilated cardiomyopathy	"c(\RAF1\"", \""ttnltv\"")"""
"Dilated cardiomyopathy, OCD and suicidality"	FOXD4
"Dilated cardiomyopathy, sporadic"	GATA4
"Dilated cardiomyopathy, woolly hair, keratoderma"	DSP
"Dimelia, attenuated"	GLE1
Dimethylglycine dehydrogenase deficiency	DMGDH
Diminished enzyme activity	IMPDH2
"Diminished inhibitory effect on TNF-alpha production, association"	IL10RA
Diminished ovarian reserve	GDF9
Diminished tacrolimus clearance	CYP3A4
Disorder of sex development	AR
Disorder of sexual development	CBX2
"Disorder of sexual development, in males"	AKR1C2
Disorder of sexual differentiation	CYP19A1
Disordered steroidogenesis	POR
Disorders of sex development	MAP3K1
Disrupted O-Linked glycosylation	SHBG
Disseminated coccidioidomycosis	STAT1
Disseminated histoplasmosis	STAT1
Disseminated mucormycosis	STAT1
Disseminated superficial actinic porokeratosis	"c(\MVK\"", \""SART3\"", \""SLC17A9\"")"""
Distal anterior phenotype	DYSF
Distal arthrogryposis syndrome 1	TPM2
Distal arthrogryposis syndrome 2a	TNNI2
Distal arthrogryposis syndrome 2b	"c(\MYH3\"", \""TNNI2\"", \""TNNT3\"", \""TPM2\"")"""
Distal arthrogryposis type I	MYBPC1
Distal motor neuropathy / Charcot-Marie-Tooth disease 2	HSPB1
Distal myopathy	FLNC
Distal myopathy with cachexia	POLG
"Distal myopathy, Laing"	MYH7
Distal renal tubular acidosis	SLC4A1
"Distal renal tubular acidosis, autosomal recessive"	ATP6V0A4
"Distal renal tubular acidosis, with sensorineural hearing loss"	ATP6V0A4
Distal spinal muscular atrophy	TRPV4
Distichiasis	FOXC2
"Diurnal preference traits, association with"	"c(\PER2\"", \""PER3\"")"""
"Diurnal preference, association with"	"c(\PER1\"", \""PER3\"")"""
"DNA repair rate, association with"	XPC
DNAase deficiency	DNASE1
DOCK8 deficiency	DOCK8
Dolichol kinase congenital disorder of glycosylation	DOLK
Dolichol kinase deficiency	DOLK
Dombrock blood group variation	ART4
Dominant deafness-onychodystrophy syndrome	ATP6V1B2
Donnai-Barrow syndrome	LRP2
Dopamine beta hydroxylase deficiency	DBH
Dopamine transporter deficiency syndrome	SLC6A3
Double cortex syndrome	"c(\DCX\"", \""PAFAH1B1\"")"""
Double outlet right ventricle	"c(\NODAL\"", \""ZFPM2\"")"""
Double outlet right ventricle & ventricular septal defect	NKX2-6
Dowling-Degos disease	"c(\KRT5\"", \""POGLUT1\"")"""
"Dowling-Degos disease, generalised"	POFUT1
"Down's syndrome/HSCR phenotype, association with"	EDNRB
Downregulates activity of DHPR and affects skeletal muscle excitation-contraction coupling	JSRP1
Dravet syndrome	"c(\CLSTN1\"", \""GABRA1\"", \""GAS2L2\"", \""IGSF8\"", \""NKAIN3\"", \""PCDH19\"", \""SCN1A\"", \""SCN1B\"", \""SCN2A\"", \""SCN9A\"", \""STXBP1\"")"""
Dravet syndrome B	SCN1A
Dravet syndrome C	SCN1A
Dravet syndrome-like myoclonic epileptic encephalopathy	CHD2
"Drug abuse, association with"	HTR2B
"Drug addiction, association with"	PTPRB
"Drug/alcohol abuse, association with"	FAAH
"Drusen, basal laminar"	CFH
Dry skin / eczema	ASPRV1
Duane retraction syndrome	CHN1
Duane retraction syndrome 2	CHN1
Dubin-Johnson syndrome	ABCC2
Duch blood group	GYPC
Ductal carcinoma in situ	BRCA2
"Duffy blood group antigen, absence"	ACKR1
Duffy blood group variation	ACKR1
DuPan syndrome	GDF5
Dursun syndrome	G6PC3
Dyggve-Melchior-Clausen syndrome	"c(\DYM\"", \""RAB33B\"")"""
"Dysalbuminaemic hyperthyroxinaemia, familial"	ALB
"Dysautonomia, familial"	IKBKAP
Dyschondrosteosis	SHOX
Dyschromatosis symmetrica hereditaria	ADAR
Dyschromatosis universalis hereditaria	ABCB6
Dysequilibrium syndrome	VLDLR
Dyserythropoietic anaemia	KLF1
Dyserythropoietic anaemia and thrombocytopaenia	GATA1
Dysferlinopathy	DYSF
"Dysferlinopathy, proximodistal"	DYSF
"Dysferlinopathy, pseudometabolic"	DYSF
Dysfibrinogenaemia	"c(\FGA\"", \""FGB\"", \""FGG\"")"""
Dyskeratosis congenita	"c(\CTC1\"", \""DKC1\"", \""NHP2\"", \""RTEL1\"", \""rtel1at\"", \""TERT\"", \""TINF2\"", \""USB1\"", \""WRAP53\"")"""
Dyskeratosis congenita / Hoyeraal-Hreidarsson syndrome	TINF2
Dyskeratosis congenita with Hoyeraal-Hreidarsson syndrome	DKC1
"Dyskeratosis congenita, autosomal recessive"	NOP10
"Dyskeratosis congenita, X-linked"	DKC1
Dyskinesia with facial myokymia	ADCY5
"Dyslexia, association with"	"c(\DYX1C1\"", \""KIAA0319\"")"""
Dyslipidaemia	LRRK2
Dyslipidaemia and colorectal cancer	PPARG
"Dyslipidaemia, risk, association with"	LCAT
Dysosteosclerosis	SLC29A3
"Dysplasia, arrhythmogenic right ventricular"	"c(\DSG2\"", \""DSP\"")"""
"Dyspnea, progressive"	HBB
Dysprothrombinaemia	F2
"Dyssegmental dysplasia, Silverman-Handmaker type"	HSPG2
Dysspondyloenchondromatosis	COL2A1
Dystonia	"c(\GNAL\"", \""gnaltv1\"", \""THAP1\"")"""
Dystonia 12	ATP1A3
Dystonia 4	TUBB4A
Dystonia 6	THAP1
Dystonia-parkinsonism	PRKRA
"Dystonia-parkinsonism, adult-onset, levodopa-responsive"	PLA2G6
"Dystonia-parkinsonism, early-onset"	PRKRA
"Dystonia-parkinsonism, infantile"	SLC6A3
"Dystonia-parkinsonism, levodopa-responsive"	ATP1A3
"Dystonia-parkinsonism, rapid-onset"	ATP1A3
